//怪物id,怪物名称,ai类型,外观,等级,生命,魔法,最小攻击,最大攻击,防御,躲避,可视范围,攻击速度,移动速度,掉落道具组,幻兽类型[ 1.战士 2.法师 3.未知 4.法师+骑宠 5.战士+骑宠 6]
#id,name,ai,lookface,level,life,mana,attack_min,attack_max,defense,dodge,range,attack_speed,move_speed,drop_group,eudemon_type
101,卫兵,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
121,卡诺萨近卫军,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
110,卫兵,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
126,银色十字远征军,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
128,银色十字远征军,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
105,辛德·卫队长,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
127,卫队长,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
106,冥·统领,1,454,400,50000,0,50000,50000,50000,90,15,1000,1000,0,0
1000,鹿角兽,1,400,1,48,0,1,2,0,21,10,1000,1000,1,0
1010,巨杰士,1,452,5,636,0,44,49,0,21,10,1000,1000,0,0
1020,猎杀兽,1,434,7,984,0,61,67,0,23,10,1000,1000,0,0
1030,地精,1,407,9,1560,0,62,69,0,27,10,1000,1000,0,0
1040,龙怪,1,438,13,3280,0,97,107,0,32,10,1000,1000,0,0
2000,绿魔精,1,408,15,4240,0,157,174,0,33,10,1000,1000,0,0
2010,杰克灯笼,1,405,20,8768,0,204,225,0,38,10,1000,1000,0,0
2020,冰妖剑士,1,26,25,12192,0,278,307,0,42,10,1000,1000,0,0
2030,沼泽招魂使,1,420,27,12384,0,279,309,0,46,10,1000,1000,0,0
2040,提风,1,424,30,11880,0,315,348,0,57,10,1000,1000,0,0
3000,望齿魔人,1,428,35,14700,0,381,421,0,61,10,1000,1000,0,0
3010,巴洛骨,1,436,40,21338,0,414,458,0,63,10,1000,1000,0,0
3030,骑士亡魂,1,425,50,26110,0,550,608,0,72,10,1000,1000,0,0
3040,塔亚龙,1,441,52,28238,0,532,610,0,72,10,1000,1000,0,0
3020,角蜥,1,432,45,25538,0,512,566,0,67,10,1000,1000,0,0
7010,死神战将,1,430,55,29775,0,620,685,0,73,10,1000,1000,0,0
7020,招魂使,1,420,60,38052,0,671,742,0,83,10,1000,1000,0,0
7030,死亡骑士,1,429,65,38682,0,720,796,0,87,10,1000,1000,0,0
7040,黑翼法师,1,442,70,49931,0,794,877,0,94,10,1000,1000,0,0
4002,蜘蛛,1,412,50,26110,0,550,608,0,72,10,1000,1000,0,0
4010,雪山矮猿,1,422,75,55419,0,854,944,0,98,10,1000,1000,0,0
4020,冰原,1,416,80,59748,0,910,1006,0,108,10,1000,1000,0,0
4030,冰雪巨人,1,421,85,65535,0,1054,1165,0,112,10,1000,1000,0,0
4040,守卫者,1,443,90,65535,0,1092,1207,0,114,10,1000,1000,0,0
5010,鱼妖,1,418,70,49931,0,794,877,0,94,10,1000,1000,0,0
5020,恐兽,1,401,75,55419,0,854,944,0,98,10,1000,1000,0,0
5030,巨斧怪,1,419,80,59748,0,910,1006,0,108,10,1000,1000,0,0
6010,刺虫人,1,404,85,65535,0,1054,1165,0,112,10,1000,1000,0,0
6020,四牙怪,1,448,90,65535,0,1092,1207,0,114,10,1000,1000,0,0
6030,炎女,1,446,95,65535,0,1194,1320,0,118,10,1000,1000,0,0
6040,蝎怪,1,433,100,65535,0,1207,1334,0,125,10,1000,1000,0,0
5510,暗黑格拉斯,1,466,125,65535,0,1304,1434,0,130,10,1000,1000,0,0
5520,叹息骑士,1,529,130,65535,0,1322,1454,0,130,10,1000,1000,0,0
//,,,,,,,,,,,,,,,
//--BOSS,,,,,,,,,,,,,,,
2001,16级绿魔精,1,408,16,8480,0,189,209,0,33,10,1000,1000,2,0
2002,17级绿魔精,1,408,17,10600,0,220,244,0,33,10,1000,1000,2,0
2003,18级绿魔精,1,408,18,12720,0,252,278,0,33,10,1000,1000,2,0
2011,21级杰克灯笼,1,405,21,17536,0,189,209,0,33,10,1000,1000,2,0
2012,22级杰克灯笼,1,405,22,21920,0,220,244,0,33,10,1000,1000,2,0
2013,23级杰克灯笼,1,405,23,26304,0,252,278,0,33,10,1000,1000,2,0
2021,26级冰妖剑士,1,426,26,24384,0,333,368,0,33,10,1000,1000,2,0
2022,27级冰妖剑士,1,426,27,30480,0,389,430,0,33,10,1000,1000,2,0
2023,28级冰妖剑士,1,426,28,36576,0,444,491,0,33,10,1000,1000,2,0
2031,28级沼泽招魂使,1,420,28,24768,0,335,371,0,46,10,1000,1000,2,0
2032,29级沼泽招魂使,1,420,29,30960,0,391,432,0,46,10,1000,1000,2,0
2033,30级沼泽招魂使,1,420,30,37152,0,447,494,0,46,10,1000,1000,2,0
2041,31级提风,1,424,31,23760,0,378,417,0,57,10,1000,1000,2,0
2042,32级提风,1,424,32,29700,0,440,487,0,57,10,1000,1000,2,0
2043,33级提风,1,424,33,35640,0,503,556,0,57,10,1000,1000,2,0
3001,36级望齿魔人,1,428,36,29400,0,457,505,0,57,10,1000,1000,2,0
3002,37级望齿魔人,1,428,37,36750,0,533,589,0,61,10,1000,1000,2,0
3003,38级望齿魔人,1,428,38,44100,0,609,673,0,61,10,1000,1000,2,0
3011,41级巴洛骨,1,436,41,42675,0,497,549,0,63,10,1000,1000,2,0
3012,42级巴洛骨,1,436,42,53344,0,580,641,0,63,10,1000,1000,2,0
3013,43级巴洛骨,1,436,43,64013,0,663,732,0,63,10,1000,1000,2,0
3021,46级角蜥,1,432,46,51075,0,614,679,0,67,10,1000,1000,2,0
3022,47级角蜥,1,432,47,63844,0,717,792,0,67,10,1000,1000,2,0
3023,48级角蜥,1,432,48,65535,0,819,905,0,67,10,1000,1000,2,0
3031,51级骑士亡魂,1,425,51,52200,0,660,730,0,72,10,1000,1000,2,0
3032,52级骑士亡魂,1,425,52,65250,0,770,851,0,72,10,1000,1000,2,0
3033,53级骑士亡魂,1,425,53,65535,0,880,973,0,72,10,1000,1000,2,0
3041,53级塔亚龙,1,441,53,56475,0,663,732,0,72,10,1000,1000,2,0
3042,54级塔亚龙,1,441,54,65535,0,773,854,0,72,10,1000,1000,2,0
3043,55级塔亚龙,1,441,55,65535,0,883,976,0,72,10,1000,1000,2,0
7011,56级死神战将,1,430,56,59550,0,744,822,0,73,10,1000,1000,2,0
7012,57级死神战将,1,430,57,65535,0,868,959,0,73,10,1000,1000,2,0
7013,58级死神战将,1,430,58,65535,0,991,1096,0,73,10,1000,1000,2,0
7021,61级招魂使,1,420,61,65535,0,805,890,0,83,10,1000,1000,2,0
7022,62级招魂使,1,420,62,65535,0,940,1039,0,83,10,1000,1000,2,0
7023,63级招魂使,1,420,63,65535,0,1074,1187,0,83,10,1000,1000,2,0
7031,66级死亡骑士,1,429,66,65535,0,864,955,0,87,10,1000,1000,2,0
7032,67级死亡骑士,1,429,67,65535,0,1008,1115,0,87,10,1000,1000,2,0
7033,68级死亡骑士,1,429,68,65535,0,1152,1274,0,87,10,1000,1000,2,0
7041,71级黑翼法师,1,442,71,65535,0,952,1053,0,94,10,1000,1000,2,0
7042,72级黑翼法师,1,442,72,65535,0,1111,1228,0,94,10,1000,1000,2,0
7043,73级黑翼法师,1,442,73,65535,0,1270,1404,0,94,10,1000,1000,2,0
5011,71级鱼妖,1,418,71,65535,0,952,1053,0,94,10,1000,1000,2,0
5012,72级鱼妖,1,418,72,65535,0,1111,1228,0,94,10,1000,1000,2,0
5013,73级鱼妖,1,418,73,65535,0,1270,1404,0,94,10,1000,1000,2,0
5021,75级恐兽,1,401,75,65535,0,1025,1133,0,98,10,1000,1000,2,0
5022,76级恐兽,1,401,76,65535,0,1196,1322,0,98,10,1000,1000,2,0
5023,77级恐兽,1,401,77,65535,0,1366,1510,0,98,10,1000,1000,2,0
5031,81级巨斧怪,1,419,81,65535,0,1092,1092,0,108,10,1000,1000,2,0
5032,82级巨斧怪,1,419,82,65535,0,1274,1408,0,108,10,1000,1000,2,0
5033,83级巨斧怪,1,419,83,65535,0,1456,1609,0,108,10,1000,1000,2,0
